	ERR030886	ERR030873	ERR030877	ERR030878	ERR030879	ERR030872	ERR030880	ERR030881	ERR030882	ERR030883	ERR030884	ERR030885	ERR030887	ERR030875	ERR030876	ERR030874
TRIM42	0.0	5.43145	0.0	0.0	0.0	0.0	0.03076	0.0761	0.00386	0.00767	0.01974	0.00738	0.0	0.0	0.0	0.0
TRIM43	0.0	0.0714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRIM43B	0.0	0.07374	0.0	0.0	0.0	0.0	0.0	0.0	0.02366	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRIM44	18.64581	13.18409	13.32891	17.01827	12.54466	22.3557	24.68957	15.33141	36.12475	16.61158	21.01478	24.78772	8.84287	27.8249	9.55985	20.06488
TRIM45	2.21127	2.61426	2.67322	0.36096	0.47062	3.00217	0.20126	0.68081	0.82221	1.21922	0.61376	0.73023	0.05523	0.07677	3.9259	2.41443
TRIM46	0.03161	0.65132	0.43706	0.67766	0.12542	0.0685	0.0	0.39597	2.35885	0.15488	0.1829	0.05224	0.01903	0.37059	0.01794	0.42708
TRIM47	5.43299	7.48553	16.3426	17.09384	10.27458	3.97508	5.54535	19.55336	5.81967	7.25541	11.55441	11.83932	3.34869	1.12198	4.33081	9.18213
TRIM48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRIM49	0.0	0.1456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRIM49L1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRIM49L2	0.0	0.04981	0.0	0.0	0.0	0.0	0.0	0.0	0.01824	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRIM5	3.87733	5.49507	5.46165	10.84472	7.97583	4.14558	5.34877	5.36502	0.71799	5.82943	5.53846	9.01639	5.93332	12.5323	1.54426	5.22259
TRIM50	0.08377	1.36558	0.12973	0.0	0.0	0.20126	0.0984	0.0	0.00742	0.1147	0.01448	1.22558	0.018	0.0	0.17896	0.04049
TRIM52	2.59717	4.71843	5.18515	12.20953	4.00343	7.16025	2.39809	5.96714	3.96673	3.92311	4.08266	5.51632	0.86834	6.65257	1.10865	5.42758
TRIM53	0.0	0.0024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
