og_00000183	entrez_gi:389903	official_symbol:CSAG3
og_00000184	entrez_gi:56604	official_symbol:TUBB7P
og_00000185	entrez_gi:55854	official_symbol:ZC3H15
og_00000186	entrez_gi:319085	official_symbol:ITPK1-AS1
og_00000187	entrez_gi:157697	official_symbol:ERICH1
og_00000188	entrez_gi:55017	official_symbol:C14orf119
og_00000189	entrez_gi:417	official_symbol:ART1
og_00000190	entrez_gi:245972	official_symbol:ATP6V0D2
og_00000191	entrez_gi:419	official_symbol:ART3
og_00000192	entrez_gi:400322	official_symbol:HERC2P2
og_00000193	entrez_gi:116969	official_symbol:ART5
og_00000194	entrez_gi:420	official_symbol:ART4
og_00000195	entrez_gi:54511	official_symbol:HMGCLL1
og_00000196	entrez_gi:6919	official_symbol:TCEA2
og_00000197	entrez_gi:6920	official_symbol:TCEA3
og_00000198	entrez_gi:6917	official_symbol:TCEA1
og_00000199	entrez_gi:84701	official_symbol:COX4I2
og_00000200	entrez_gi:1327	official_symbol:COX4I1
og_00000201	entrez_gi:51283	official_symbol:BFAR
og_00000202	entrez_gi:100033450	official_symbol:SNORD115-13
og_00000203	entrez_gi:56253	official_symbol:CRTAM
og_00000204	entrez_gi:1896	official_symbol:EDA
og_00000205	entrez_gi:80781	official_symbol:COL18A1
og_00000206	entrez_gi:51268	official_symbol:PIPOX
og_00000207	entrez_gi:164592	official_symbol:CCDC116
og_00000208	entrez_gi:150275	official_symbol:CCDC117
og_00000209	entrez_gi:93233	official_symbol:CCDC114
og_00000210	entrez_gi:84317	official_symbol:CCDC115
og_00000211	entrez_gi:153733	official_symbol:CCDC112
og_00000212	entrez_gi:23263	official_symbol:MCF2L
og_00000213	entrez_gi:256309	official_symbol:CCDC110
og_00000214	entrez_gi:201973	official_symbol:CCDC111
og_00000215	entrez_gi:123169	official_symbol:LEO1
og_00000216	entrez_gi:480	official_symbol:ATP1A4
og_00000217	entrez_gi:478	official_symbol:ATP1A3
og_00000218	entrez_gi:477	official_symbol:ATP1A2
og_00000219	entrez_gi:476	official_symbol:ATP1A1
og_00000220	entrez_gi:654466	official_symbol:KGFLP2
og_00000221	entrez_gi:23295	official_symbol:MGRN1
og_00000222	entrez_gi:51517	official_symbol:NCKIPSD
og_00000223	entrez_gi:10491	official_symbol:CRTAP
og_00000224	entrez_gi:56848	official_symbol:SPHK2
og_00000225	entrez_gi:8877	official_symbol:SPHK1
og_00000226	entrez_gi:1805	official_symbol:DPT
og_00000227	entrez_gi:60467	official_symbol:BPESC1
og_00000228	entrez_gi:404093	official_symbol:CUEDC1
og_00000229	entrez_gi:79004	official_symbol:CUEDC2
og_00000230	entrez_gi:9670	official_symbol:IPO13
og_00000231	entrez_gi:80315	official_symbol:CPEB4
og_00000232	entrez_gi:387036	official_symbol:GUSBP2
og_00000233	entrez_gi:64506	official_symbol:CPEB1
og_00000234	entrez_gi:22849	official_symbol:CPEB3
og_00000235	entrez_gi:132864	official_symbol:CPEB2
og_00000236	entrez_gi:494115	official_symbol:RBMXL1
og_00000237	entrez_gi:139804	official_symbol:RBMXL3
og_00000238	entrez_gi:27288	official_symbol:RBMXL2
og_00000239	entrez_gi:18	official_symbol:ABAT
og_00000240	entrez_gi:27198	official_symbol:HCAR1
og_00000241	entrez_gi:284323	official_symbol:ZNF780A
og_00000242	entrez_gi:163131	official_symbol:ZNF780B
og_00000243	entrez_gi:83660	official_symbol:TLN2
og_00000244	entrez_gi:2483	official_symbol:FRG1
og_00000245	entrez_gi:448831	official_symbol:FRG2
og_00000246	entrez_gi:121268	official_symbol:RHEBL1
og_00000247	entrez_gi:7592	official_symbol:ZNF41
og_00000248	entrez_gi:57560	official_symbol:IFT80
og_00000249	entrez_gi:28981	official_symbol:IFT81
og_00000250	entrez_gi:4888	official_symbol:NPY6R
og_00000251	entrez_gi:3587	official_symbol:IL10RA
og_00000252	entrez_gi:158038	official_symbol:LINGO2
og_00000253	entrez_gi:5462	official_symbol:POU5F1B
og_00000254	entrez_gi:6668	official_symbol:SP2
og_00000255	entrez_gi:84634	official_symbol:KISS1R
og_00000256	entrez_gi:55388	official_symbol:MCM10
og_00000257	entrez_gi:9688	official_symbol:NUP93
og_00000258	entrez_gi:254240	official_symbol:BPIFC
og_00000259	entrez_gi:347252	official_symbol:IGFBPL1
og_00000260	entrez_gi:84938	official_symbol:ATG4C
og_00000261	entrez_gi:23192	official_symbol:ATG4B
og_00000262	entrez_gi:115201	official_symbol:ATG4A
og_00000263	entrez_gi:80745	official_symbol:THUMPD2
og_00000264	entrez_gi:84971	official_symbol:ATG4D
og_00000265	entrez_gi:401	official_symbol:PHOX2A
og_00000266	entrez_gi:8929	official_symbol:PHOX2B
og_00000267	entrez_gi:767612	official_symbol:SNORD114-31
og_00000268	entrez_gi:767611	official_symbol:SNORD114-30
og_00000269	entrez_gi:136332	official_symbol:LRGUK
og_00000270	entrez_gi:7379	official_symbol:UPK2
og_00000271	entrez_gi:122809	official_symbol:SOCS4
og_00000272	entrez_gi:3075	official_symbol:CFH
og_00000273	entrez_gi:84706	official_symbol:GPT2
og_00000274	entrez_gi:4860	official_symbol:PNP
og_00000275	entrez_gi:51479	official_symbol:ANKFY1
og_00000276	entrez_gi:327	official_symbol:APEH
og_00000277	entrez_gi:629	official_symbol:CFB
og_00000278	entrez_gi:120066	official_symbol:OR5P3
og_00000279	entrez_gi:120065	official_symbol:OR5P2
og_00000280	entrez_gi:4301	official_symbol:MLLT4
og_00000281	entrez_gi:6152	official_symbol:RPL24
og_00000282	entrez_gi:54901	official_symbol:CDKAL1
og_00000283	entrez_gi:5411	official_symbol:PNN
og_00000284	entrez_gi:8992	official_symbol:ATP6V0E1
og_00000285	entrez_gi:155066	official_symbol:ATP6V0E2
og_00000286	entrez_gi:79589	official_symbol:RNF128
og_00000287	entrez_gi:5199	official_symbol:CFP
og_00000288	entrez_gi:8086	official_symbol:AAAS
og_00000289	entrez_gi:57817	official_symbol:HAMP
og_00000290	entrez_gi:54847	official_symbol:SIDT1
og_00000291	entrez_gi:51092	official_symbol:SIDT2
og_00000292	entrez_gi:64403	official_symbol:CDH24
